model,horizon,loso_sum,loso_per_trade,loso_n_active,lo2so_mean,lo2so_min_pair,lo2so_max_pair,brittleness@0.2,boot_ci_2.5,boot_ci_97.5,boot_p_pos,platform_pred_M5,platform_pred_M_robust,recommend
iter_002,5,17.4917,0.000217,80454,6.9967,3.4195,10.7045,0.218,14.905,20.192,1.0,,,GREEN
iter_002,10,21.8595,0.000225,97135,8.7438,4.0588,13.4533,0.297,18.469,25.655,1.0,,,GREEN
iter_002,20,19.6999,0.000224,88106,7.88,2.1774,13.2315,0.364,15.798,23.683,1.0,,,GREEN
iter_002,40,11.7051,0.000156,74883,4.682,1.0184,9.8846,0.639,7.544,15.951,1.0,,,GREEN
iter_002,60,6.3002,0.000114,55288,2.5201,-1.6974,7.5904,0.87,1.988,11.084,0.999,,,GREEN
iter_005b,5,0.0,0.0,0,,,,,,,,0.0,0.0,DO_NOT_USE
iter_005b,10,0.0,0.0,0,,,,,,,,0.0,0.0,DO_NOT_USE
iter_005b,20,0.0,0.0,0,,,,,,,,0.0,0.0,DO_NOT_USE
iter_005b,40,11.7051,0.000156,74883,4.682,1.0184,9.8846,0.639,7.727,15.789,1.0,2.02,-5.353,GREEN
iter_005b,60,11.4565,0.000114,100256,4.5826,-0.1786,10.3372,0.557,5.023,18.219,1.0,9.226,-4.158,GREEN
t26_aug_a,60,9.672,9.6e-05,100713,3.8688,-1.4511,9.5933,0.48,3.017,16.069,0.998,,,GREEN
t26_baseline,60,-8.1595,-3.2e-05,257955,-3.2638,-14.9367,6.8508,,-16.952,0.782,0.035,,,DO_NOT_USE
