feature,mean_gain,rank,is_revol,is_sg,is_extra
revol_wmp1_sigma_hat,368784.30714035034,1,True,False,True
totalasize,106458.27643318176,2,False,False,False
rv_w50,98924.44090652466,3,False,False,False
bsize1,93038.12126731873,4,False,False,False
totalbsize,90353.52127876281,5,False,False,False
revol_mid_sigma_hat,88362.10347633362,6,True,False,True
bsize_mean,82804.7409160614,7,False,False,False
avgask,77525.07452545167,8,False,False,False
asize1,72899.86336097718,9,False,False,False
high,70563.77903518677,10,False,False,False
ewma_a0.3_mb_intst,69392.52510223389,11,False,False,False
ewma_a0.05_mb_intst,67863.94694671631,12,False,False,False
avgbid,66075.2841293335,13,False,False,False
open,64595.682127761844,14,False,False,False
bid_mean,63242.31643066406,15,False,False,False
low,58821.42175064087,16,False,False,False
ask_mean,52872.18012733459,17,False,False,False
asize10,51657.29326744079,18,False,False,False
bsize3,49954.571055984496,19,False,False,False
ma_intst,49726.06530609131,20,False,False,False
bsize2,48988.13963088989,21,False,False,False
ewma_a0.5_mb_intst,46382.356282424924,22,False,False,False
asize_mean,44202.25195922852,23,False,False,False
asize4,41393.12522087097,24,False,False,False
bsize9,41165.96442337036,25,False,False,False
bsize8,41087.39239883423,26,False,False,False
bsize6,40884.9322555542,27,False,False,False
asize3,39937.23779144287,28,False,False,False
asize6,39134.276147460936,29,False,False,False
bsize7,38420.130767440794,30,False,False,False
asize7,37579.85111694336,31,False,False,False
bsize4,37573.11195983887,32,False,False,False
asize9,37370.465544891355,33,False,False,False
bsize10,37225.79595184326,34,False,False,False
asize5,36694.480306243895,35,False,False,False
bsize5,36038.30455474854,36,False,False,False
mb_intst,34438.19080886841,37,False,False,False
asize8,33741.81476402283,38,False,False,False
bid_diff10,33496.895363235475,39,False,False,False
asize2,33021.11773529053,40,False,False,False
wmp_lvl9,31285.015062713625,41,False,False,False
wmp_lvl10,30520.52463798523,42,False,False,False
rv_w20,30369.702355575562,43,False,False,False
ask_diff10,29583.12084388733,44,False,False,False
ewma_a0.05_la_intst,29153.388321304323,45,False,False,False
imbalance,27836.562104415894,46,False,False,False
wmp_lvl8,27732.17767944336,47,False,False,False
ewma_a0.05_ma_intst,26748.814936828614,48,False,False,False
ewma_a0.1_mb_intst,25321.47652053833,49,False,False,False
wmp_lvl7,25250.6315738678,50,False,False,False
spread1,24432.099582290648,51,False,False,False
ewma_a0.5_lb_intst,24260.62115135193,52,False,False,False
