metric,sym0,sym1,sym2,sym3,sym4,z_sym2_vs_others,abs_z_sym2
abs_60tick_move_mean,0.0011731058568886868,0.0015278234369883827,0.0013719198263154049,0.0009412040385825418,0.0018315981806450907,0.010275698381977337,0.010275698381977337
abs_60tick_move_q95,0.00366300366300365,0.004485488126648951,0.0041740360806509225,0.003976143141153132,0.00547195622435015,-0.3284278627922407,0.3284278627922407
amount_delta_raw_mean,39220.3051425329,30205.922294810924,154284.36032891888,22097.676669581873,63283.568781046975,7.490491099064302,7.490491099064302
cumspread.max,-0.793923381770145,-0.7781934794227667,-0.8788260919408455,-0.6936936936936906,-0.8627901353965182,-1.6067184871341633,1.6067184871341633
cumspread.mean,-0.9272936687039977,-0.9976475128756119,-0.9831687443741459,-0.771598472453637,-0.9678549771056515,-0.7701760028755364,0.7701760028755364
cumspread.min,-0.9350649350649369,-11.971781305114638,-0.9938332511100162,-6.3040540540540535,-0.9892721918384544,0.8909589005250669,0.8909589005250669
cumspread.q05,-0.933288859239493,-0.9479739869934971,-0.9903561298455722,-0.7890295358649775,-0.982940698619009,-1.0414056677339298,1.0414056677339298
cumspread.q50,-0.9272727272727272,-0.9386740331491721,-0.9844024956007054,-0.7652582159624413,-0.9694748227376502,-1.0607786167028137,1.0607786167028137
cumspread.q95,-0.9191123836793151,-0.9178263750828395,-0.9719193663683104,-0.7518610421836228,-0.9472533877313126,-1.1386930829793993,1.1386930829793993
cumspread.std,0.004805029509246858,0.7920120078724794,0.005911988460410449,0.11670231077967953,0.011182521769330803,-0.6892287457155469,0.6892287457155469
imbalance.max,0.05304670370370371,0.4034337514036942,0.11365560560341524,0.7906530002550006,0.07650718626001018,-0.7256425424432946,0.7256425424432946
imbalance.mean,-0.0030764010297320474,-0.01191848901978256,-0.0009707396485884471,-0.002145490191503105,-0.00043726950851411965,0.7700673278555622,0.7700673278555622
imbalance.min,-0.04220740740740741,-4.998327228402731,-0.09494105450366415,-0.4359129287589133,-0.04488189033487619,0.6135568080756543,0.6135568080756543
imbalance.q05,-0.014588888888888889,-0.03396182531377244,-0.010740808653017037,-0.16799553645410178,-0.004665111264584861,0.6760969512614473,0.6760969512614473
imbalance.q50,-0.003237037037037037,-0.00278031579148691,-0.0004616393403875517,-0.0046317501895935176,-0.0002464587035451134,1.427628752360528,1.427628752360528
imbalance.q95,0.009066846296296288,0.022726817769045678,0.006801486281709929,0.16614972529122232,0.0034680261098989345,-0.6478800760638933,0.6478800760638933
imbalance.std,0.007372966129422158,0.15117162391860064,0.0066725621148888085,0.10824898068721958,0.0032429755254649805,-0.949944190410693,0.949944190410693
label_10_dist.p0,0.19382600366483424,0.2821131101116109,0.1574296185240713,0.06353698150924537,0.2176744960852907,-0.400926575611634,0.400926575611634
label_10_dist.p1,0.6334770114942528,0.46820339830084956,0.6954543561552557,0.8762931034482758,0.580368149258704,0.37465922702437693,0.37465922702437693
label_10_dist.p2,0.17269698484091286,0.24968349158753955,0.147116025320673,0.06016991504247876,0.20195735465600534,-0.34446092727983957,0.34446092727983957
label_20_dist.p0,0.09625395635515575,0.17578918873896385,0.12401715808762286,0.09658712310511411,0.17923746460103282,-0.3192360539714441,0.3192360539714441
label_20_dist.p1,0.8104968349158754,0.661371397634516,0.7527444611027819,0.8144948359153756,0.651468015992004,0.2340565656270808,0.2340565656270808
label_20_dist.p2,0.09324920872896884,0.16283941362652007,0.1232383808095952,0.08891804097951024,0.1692945194069632,-0.14196840982607092,0.14196840982607092
label_40_dist.p0,0.16023238380809596,0.2527632017324671,0.20218015992004,0.14185615525570547,0.26181700816258535,-0.03706146358107445,0.03706146358107445
