horizon,sym,lag,ac
5,0,1,0.7450685407807321
5,0,5,-0.022178358337727327
5,0,20,-0.005448021398331406
5,1,1,0.7532132384637427
5,1,5,-0.03211677747926582
5,1,20,-0.02500405375428883
5,2,1,0.8079071396799475
5,2,5,0.15478772186279194
5,2,20,-0.0017254081709269994
5,3,1,0.6589522111817646
5,3,5,-0.14667164445359854
5,3,20,-0.008044557408425634
5,4,1,0.7675728709014411
5,4,5,0.06992764999505809
5,4,20,-0.012737346360527358
10,0,1,0.8671816137162907
10,0,5,0.4941856142038238
10,0,20,0.00413720646234017
10,1,1,0.8689891186785603
10,1,5,0.4739469388421348
10,1,20,-0.05188358386878798
10,2,1,0.9128286674587437
10,2,5,0.5983728344302809
10,2,20,0.012239153725271006
10,3,1,0.799997880820259
10,3,5,0.39718585295796494
10,3,20,-0.03219191112585171
10,4,1,0.88722749756207
10,4,5,0.5459013608159443
10,4,20,-0.014163489894739558
20,0,1,0.9333362522992861
20,0,5,0.74063443175079
20,0,20,-0.003965708519098976
20,1,1,0.9300297421523513
20,1,5,0.7163896764571811
20,1,20,-0.09082698378130571
20,2,1,0.9592095729429833
20,2,5,0.8034918802609623
20,2,20,0.06313214240378567
20,3,1,0.8860435888236551
20,3,5,0.6569687167869888
20,3,20,-0.12283636946790072
20,4,1,0.9447382947755052
20,4,5,0.7710237310093987
20,4,20,0.0014516538534601262
40,0,1,0.9658758512909889
40,0,5,0.8668971496605722
40,0,20,0.466538574869346
40,1,1,0.9609430411013561
40,1,5,0.8479070150714072
40,1,20,0.4342096883000417
40,2,1,0.9805924080028614
40,2,5,0.9044966481976655
40,2,20,0.4998451064660059
40,3,1,0.9329155325125826
40,3,5,0.7991472378790696
40,3,20,0.4075912281920022
40,4,1,0.9718400014516373
40,4,5,0.8835165552326345
40,4,20,0.4741020349449262
60,0,1,0.9763828319895758
60,0,5,0.9077573875834977
60,0,20,0.6374220197558855
60,1,1,0.9723069480068718
60,1,5,0.8905587919445167
60,1,20,0.5968071547793597
60,2,1,0.9864446420015209
60,2,5,0.9356871984747162
60,2,20,0.673950582666042
60,3,1,0.951102967084773
60,3,5,0.8546946633353687
60,3,20,0.5742091755172236
60,4,1,0.9806764609875599
60,4,5,0.9199160981125369
60,4,20,0.6412648641006942
