horizon,sym,n,n_active,active_rate,sum_pnl,per_trade_pnl,hit_rate_label,profit_rate
5,0,88416,35908,0.40612558812884547,1.1536165189359247,3.212700565155187e-05,0.2020719616798485,0.2545950763061156
5,1,88416,74234,0.8395991675714802,5.384123136571303,7.252907207709814e-05,0.32106581889700136,0.4513295794379934
5,2,88416,27199,0.30762531668476295,4.244257716825519,0.00015604462358268756,0.26589212838707305,0.5880363248648848
5,3,88416,10373,0.11732039449873326,2.471162369478718,0.0002382302486723916,0.16899643304733442,0.16899643304733442
5,4,88416,50041,0.5659722222222222,6.6852323615020905,0.0001335950992486579,0.2871245578625527,0.5079235027277632
5,-1,442080,197755,0.44732853782120885,19.938392103313557,0.00010082370662341563,0.2753053020151197,0.43392076053702816
10,0,88416,54040,0.6112015924719508,0.7513719831222678,1.3903996726910951e-05,0.20632864544781643,0.2525721687638786
10,1,88416,80656,0.9122330799855229,5.2843858025088295,6.551757838857406e-05,0.3658252330886729,0.4691529458440786
10,2,88416,43988,0.49751176257690916,5.511504904254809,0.00012529564663669204,0.28319087023733747,0.5512639810857507
10,3,88416,14112,0.15960912052117263,3.2002237386652834,0.00022677322411176896,0.16695011337868482,0.16695011337868482
10,4,88416,57943,0.6553451863916033,11.165573783825298,0.00019269926969306557,0.35609133113577135,0.5472447060041765
10,-1,442080,250739,0.5671801483894318,25.913060212376486,0.00010334674786282344,0.303510822010138,0.4379175158232265
20,0,88416,19406,0.21948516105682228,1.7292257933579671,8.910779106245321e-05,0.111666494898485,0.3828712769246625
20,1,88416,66589,0.7531329171190735,4.566223086024472,6.857323410810302e-05,0.24687260658667348,0.49650843232365705
20,2,88416,57877,0.654598715164676,5.339531103153696,9.225652855458465e-05,0.1687717055134164,0.5276880280595055
20,3,88416,5489,0.06208152370611654,1.2901770525130634,0.00023504774139425458,0.20295135725997449,0.20295135725997449
20,4,88416,54092,0.6117897213174086,12.056327199228948,0.00022288558750330821,0.2835539451305184,0.5521888634178806
20,-1,442080,203453,0.4602176076728194,24.98148423427815,0.00012278749506902404,0.2203260703946366,0.5014229330607068
40,0,88416,25927,0.2932387803112559,1.6274854357550026,6.2771837688703e-05,0.1461025186099433,0.3813399159177691
40,1,88416,70215,0.7941435939196525,3.2081196128511387,4.568994677563396e-05,0.2986683757031973,0.4868332977284056
40,2,88416,78998,0.893480817951502,0.29349375478678436,3.715204875905521e-06,0.19132129927339933,0.4788475657611585
40,3,88416,7293,0.08248507057546145,0.841936987320744,0.00011544453411774907,0.1867544220485397,0.1867544220485397
40,4,88416,61369,0.6940938291711908,11.405136859429978,0.00018584524531000958,0.33300200426925647,0.5411526992455474
40,-1,442080,243802,0.5514884183858125,17.37617265014365,7.127165753416153e-05,0.25295526697894194,0.4777237266306265
60,0,88416,22937,0.25942137169743035,0.9341009366300991,4.0724634286528274e-05,0.19126302480708027,0.40118585691241226
60,1,88416,71752,0.8115273253709736,-0.29928724137412677,-4.1711344823019115e-06,0.3290639982160776,0.48822332478537184
60,2,88416,77940,0.881514657980456,-4.786178639620612,-6.140850191968965e-05,0.22474980754426482,0.47145239928149857
60,3,88416,20982,0.2373099891422367,-0.32732303315013567,-1.5600182687548167e-05,0.14893718425316937,0.14893718425316937
60,4,88416,69520,0.7862830256967065,10.849760576722138,0.00015606675167897208,0.3499568469505178,0.5371691599539701
60,-1,442080,263131,0.5952112739775606,6.371072599207365,2.421255039963883e-05,0.27731054113730425,0.4615457699776917
