cat,fi_base,fi_aug_a,n,delta
other,0.37309600081195127,0.4615912532174618,69,0.08849525240551054
bid_size,0.17071579734029568,0.170243902312159,22,-0.0004718950281366874
ask_size,0.15172625247939164,0.1509585245179184,22,-0.0007677279614732302
ask_price,0.06482032992150089,0.03107735231745045,31,-0.033742977604050435
bid_price,0.061007404741924176,0.029247654670251075,31,-0.0317597500716731
ohlc,0.0532808240912623,0.06475437858378866,4,0.011473554492526357
avg_lob,0.03930969844182461,0.021686171826536822,2,-0.017623526615287786
orderflow_intst,0.032508339698453195,0.03412482838390446,6,0.0016164886854512645
spread,0.02908479821787749,0.0007498103238475,11,-0.028334987894029988
imbalance,0.010421990553941376,0.020171653757131033,1,0.009749663203189656
orderflow_ind,0.00767216210538248,0.008299055865073113,6,0.0006268937596906332
midprice,0.005461266539973891,0.005600972397525255,10,0.00013970585755136364
volume,0.0006384499737193139,0.0006416093391671627,2,3.159365447848823e-06
orderflow_acc,0.00025668508250158395,0.0008528324877851094,6,0.0005961474052835255
