feat,fi_base_norm,fi_aug_a_norm,delta,rank_base,rank_aug_a,rank_diff
open,0.016453751859489225,0.024333858497313104,0.007880106637823878,14,4,10
high,0.0189139454600482,0.022918936260534106,0.004004990800485907,9,5,4
low,0.017333113172029825,0.01688780025216846,-0.00044531291986136395,12,12,0
close,0.0005800135996950512,0.0006137835737729845,3.376997407793334e-05,150,119,31
volume_delta,3.710512576236194e-05,0.00022580942982326074,0.0001887043040608988,177,134,43
amount_delta,0.0006013448479569519,0.000415799909343902,-0.0001855449386130499,148,129,19
bid1,0.0011583493337303662,0.0008358149125037552,-0.00032253442122661096,134,112,22
bsize1,0.02671421005064504,0.03043640878286589,0.0037221987322208494,2,1,1
bid2,0.0011469147219426007,0.0010475426907295131,-9.937203121308759e-05,135,110,25
bsize2,0.013948115257839748,0.017524505934986216,0.003576390677146468,17,11,6
bid3,0.0012010994910782785,0.0011808036704096848,-2.0295820668593664e-05,130,107,23
bsize3,0.01318972491966894,0.016452623796126872,0.0032628988764579325,19,13,6
bid4,0.0014183459908424124,0.0015754585848229284,0.00015711259398051608,121,96,25
bsize4,0.009471526654428698,0.011363170813484166,0.001891644159055468,34,30,4
bid5,0.0014678152158426757,0.001266157358794117,-0.0002016578570485587,117,105,12
bsize5,0.009802204668142573,0.011717800670718365,0.0019155960025757923,31,26,5
bid6,0.0017341291912966348,0.0019113919051045162,0.00017726271380788137,108,87,21
bsize6,0.01044499783653044,0.011857839334675031,0.0014128414981445913,24,25,-1
bid7,0.001695509290837344,0.001743666744800574,4.8157453963229915e-05,110,93,17
bsize7,0.010127146747863547,0.012731337530480247,0.0026041907826167,29,18,11
bid8,0.0020145553383364065,0.0021665133366174064,0.00015195799828099984,96,84,12
bsize8,0.010291272906603258,0.012084938117614822,0.001793665211011564,28,23,5
bid9,0.003065920447086936,0.003195490870331614,0.0001295704232446783,79,75,4
bsize9,0.009654839637323656,0.012031209177906864,0.002376369540583208,33,24,9
bid10,0.004218369026373535,0.0053669712377224215,0.0011486022113488866,65,62,3
bsize10,0.00909342826741198,0.012340701373408893,0.003247273105996913,38,21,17
ask1,0.0013117016627458165,0.0011925559999769316,-0.00011914566276888488,125,106,19
asize1,0.018756693546054547,0.021972866669619808,0.0032161731235652614,10,6,4
ask2,0.001459206874702367,0.001447721936995572,-1.1484937706794998e-05,118,99,19
asize2,0.009231104740587796,0.01110624500872812,0.0018751402681403233,36,31,5
ask3,0.0019791902812511196,0.0018712270529810538,-0.00010796322827006581,98,89,9
asize3,0.010329925168598625,0.012453194563380336,0.0021232693947817113,27,20,7
ask4,0.0014128277047047056,0.0013822956385651183,-3.0532066139587295e-05,122,101,21
asize4,0.010498408654101378,0.012513405020491959,0.002014996366390581,23,19,4
ask5,0.001451044434805923,0.0015911938625098958,0.00014014942770397294,120,95,25
asize5,0.009120172531229799,0.010872387055195902,0.0017522145239661033,37,33,4
ask6,0.001503282713145805,0.0017855480811350766,0.0002822653679892715,116,91,25
asize6,0.01043643434258627,0.012130253902819271,0.0016938195602330015,25,22,3
ask7,0.0016998623573643583,0.001755672784234017,5.581042686965865e-05,109,92,17
asize7,0.009470218735182813,0.010815007623757079,0.0013447888885742658,35,34,1
ask8,0.0018277670028070123,0.0022449507590754396,0.00041718375626842723,105,83,22
asize8,0.008803549780234324,0.011370464456697362,0.0025669146764630384,40,29,11
ask9,0.0023935773265847597,0.0033096495042088353,0.0009160721776240756,86,73,13
asize9,0.009886555398385292,0.011503071722478535,0.0016165163240932437,30,28,2
ask10,0.003538714786150109,0.004794034428342259,0.0012553196421921501,76,65,11
asize10,0.012870615545748355,0.01504395545314865,0.0021733399074002954,20,14,6
avgbid,0.017349981988431254,0.014496069666598773,-0.002853912321832481,11,17,-6
avgask,0.02195971645339335,0.007190102159938049,-0.014769614293455302,6,52,-46
totalbsize,0.02370713666003759,0.018980937094172864,-0.004726199565864727,4,10,-6
totalasize,0.028833402760539244,0.019207693483330707,-0.009625709277208537,1,9,-8
lb_intst,0.003769852033507689,0.0041886378770980125,0.00041878584359032354,73,69,4
la_intst,0.004576455456181285,0.004599712720813622,2.3257264632337363e-05,61,67,-6
mb_intst,0.00970593486099076,0.010531515462045532,0.0008255806010547713,32,35,-3
ma_intst,0.014456097347773462,0.014760085080886281,0.00030398773311281907,16,15,1
cb_intst,0.0,0.0,0.0,203,187,16
ca_intst,0.0,4.4877243061013933e-05,4.4877243061013933e-05,197,155,42
lb_ind,0.002182211380337228,0.0020327221805477055,-0.00014948919978952264,93,85,8
la_ind,0.0005420935375809466,0.0006913097349664232,0.00014921619738547665,152,116,36
mb_ind,0.0025629936179454972,0.0027376086057722387,0.00017461498782674143,83,77,6
ma_ind,0.0023848635695188076,0.0028374153437867463,0.00045255177426793865,87,76,11
cb_ind,0.0,0.0,0.0,199,191,8
ca_ind,0.0,0.0,0.0,202,190,12
lb_acc,1.4551160275924455e-05,9.676903009001229e-05,8.221786981408784e-05,189,145,44
la_acc,0.0,7.230967225952534e-05,7.230967225952534e-05,198,150,48
mb_acc,0.00016605201081188579,0.0004212295325308899,0.00025517752171900414,165,126,39
ma_acc,7.608191141377371e-05,0.0002625242529046819,0.00018644234149090818,169,133,36
cb_acc,0.0,0.0,0.0,201,189,12
ca_acc,0.0,0.0,0.0,200,188,12
midprice1,0.0009490427133851782,0.0007186121064103122,-0.00023043060697486599,138,115,23
midprice2,0.0004604265715540019,0.0004346455981846151,-2.578097336938676e-05,157,125,32
midprice3,0.0003551610105655027,0.0005886816259942093,0.00023352061542870667,160,120,40
midprice4,0.00047795898615994836,0.0004851966770942305,7.2376909342821176e-06,154,123,31
midprice5,0.00024726738143798804,0.00041809182645516065,0.0001708244450171726,161,128,33
midprice6,0.00040872126020282464,0.00047564413058466835,6.692287038184371e-05,158,124,34
midprice7,0.0005200216685262648,0.0005573156931766002,3.7294024650335374e-05,153,121,32
midprice8,0.0004705568663395151,0.0005028699500876602,3.23130837481451e-05,155,122,33
midprice9,0.0007095929530983708,0.0006765499998663447,-3.3042953232026136e-05,145,117,28
midprice10,0.0008625171287042966,0.0007433647896714538,-0.00011915233903284279,139,114,25
spread1,0.006152061840793127,0.00029020963923948886,-0.005861852201553638,50,132,-82
spread2,0.0033061118203459696,6.606632174443338e-05,-0.0032400454986015364,78,152,-74
spread3,0.0017501808987671378,2.1517813684317923e-05,-0.00172866308508282,107,159,-52
spread4,0.0016949955468192918,1.5409155247466854e-05,-0.001679586391571825,111,163,-52
spread5,0.001160612558478287,7.490251692063154e-06,-0.0011531223067862237,133,179,-46
spread6,0.0014082703634106144,1.5723005127783386e-05,-0.001392547358282831,123,162,-39
spread7,0.0012405386836370177,1.2051934826600275e-05,-0.0012284867488104173,129,170,-41
spread8,0.0019153400820018478,1.1947063875875749e-05,-0.001903393018125972,101,171,-70
spread9,0.0022443247990026976,5.832774497568155e-05,-0.0021859970540270162,91,153,-62
spread10,0.006952129125798145,0.00014298348951790024,-0.006809145636280245,45,141,-96
bid_diff1,0.0022095566483672554,5.265723204902132e-06,-0.0022042909251623532,92,181,-89
bid_diff2,0.0011759952340642471,1.3249648414342498e-05,-0.0011627455856499046,131,167,-36
bid_diff3,0.0014578740925213446,8.562836493719236e-06,-0.0014493112560276253,119,176,-57
bid_diff4,0.0016418354333832493,4.572767303332715e-06,-0.0016372626660799167,113,182,-69
bid_diff5,0.001620057474935113,1.4601804238073152e-05,-0.0016054556706970398,114,165,-51
